Initial_Altitude_km,Target_Altitude_km,Initial_Mass_kg,Max_Thrust_N,Specific_Impulse_s,Initial_Speed_km_s,Final_Speed_Thrust_km_s,Final_Mass_kg,Propellant_Used_kg,Time_of_Flight_days,Number_of_Orbits,Number_of_Segments,Coast_Apoapsis_km,Coast_Periapsis_km,Coast_Radius_Error_percent,Coast_Eccentricity,Speed_After_Coast_km_s,DeltaV_km_s
500.0,35000.0,9000.0,3.0,10000.0,7.612679770155256,3.103747377042541,8595.572957834418,404.42704216558195,153.0175925925926,963,2,41501.3405507573,41255.859432298064,0.0014500254426918846,0.0029662811031486718,3.100233446414842,4.508991666558939
500.0,35000.0,9000.0,4.0,10000.0,7.612679770155256,3.1037746637552632,8595.571326346704,404.42867365329585,114.76365740740741,722,2,41542.89713555443,41215.5313602876,0.002934525402426573,0.003955678970913243,3.098974153985719,4.509010254654172
500.0,35000.0,9000.0,5.0,10000.0,7.612679770155256,3.1038525680090094,8595.56490236383,404.4350976361693,91.81238425925928,578,2,41589.91193592824,41172.792226337675,0.008101119273425779,0.0050399478099791735,3.097351570131752,4.509083522097445
500.0,35000.0,9000.0,7.0,10000.0,7.612679770155256,3.1039657140985657,8595.556744925261,404.4432550747388,65.58159722222223,413,1,41672.03141475516,41096.98174298243,0.015724730216040986,0.006947644412249117,3.094471188839719,4.509176541111684
500.0,35000.0,9000.0,9.0,10000.0,7.612679770155256,3.104107959650893,8595.546955998978,404.45304400102214,51.00914351851852,321,1,41762.49058221657,41014.00882822738,0.02477090536509651,0.009042201099588322,3.091085363498094,4.509288174498918
500.0,35000.0,10000.0,0.5,10000.0,7.612679770155256,5.25168961236794,9762.129095557611,237.87090444238856,540.0000000000001,5135,6,14453.145026625574,14451.376528267465,-65.07259708674532,6.118414223708119e-05,5.2517773156854215,2.360993244131716
500.0,35000.0,10000.0,1.0,10000.0,7.612679770155256,3.103746513785293,9550.636381890728,449.36361810927156,510.05891203703715,3213,6,41415.712141897406,41341.203301086454,0.0011061953016732315,0.0009003337112326876,3.102649175392424,4.508994164569534
500.0,35000.0,10000.0,2.0,10000.0,7.612679770155256,3.1037147358876944,9550.639542898174,449.3604571018259,255.02766203703703,1606,3,41452.6168188867,41302.71575430736,-0.0008064995963353119,0.001811376498871015,3.101696361647353,4.508961682479566
500.0,35000.0,10000.0,3.0,10000.0,7.612679770155256,3.1037744807308,9550.634138595122,449.36586140487816,170.0204861111111,1071,2,41489.885838959075,41268.621049500056,0.003029252814455756,0.002673619882451927,3.1004881274722176,4.509017152635441
500.0,35000.0,10000.0,4.0,10000.0,7.612679770155256,3.1038203618870144,9550.629957907855,449.370042092145,127.51655092592593,803,2,41530.05135999076,41230.94314046268,0.006035212496300422,0.0036141206534974304,3.0992024840179893,4.509060058204809
500.0,35000.0,10000.0,5.0,10000.0,7.612679770155256,3.1037256484916123,9550.63984880212,449.36015119787953,102.0109953703704,642,2,41565.10679450178,41190.74008191839,-0.00018503018491955478,0.004523749399150409,3.0984893121090322,4.508958470753462
500.0,35000.0,10000.0,7.0,10000.0,7.612679770155256,3.103874172281655,9550.626694932427,449.3733050675728,72.86712962962963,459,1,41639.90226973245,41124.252630402,0.009854149710539155,0.0062303498410954,3.095776244171838,4.509093493275595
500.0,35000.0,10000.0,9.0,10000.0,7.612679770155256,3.103959515746361,9550.621290629375,449.3787093706251,56.67511574074074,357,1,41715.561778015974,41052.706440276525,0.014824566548051477,0.008008568404394286,3.093177269776278,4.509148939977474
